LinkRef,LinkDescription,Date,TimePeriod,AverageJT,AverageSpeed,DataQuality,LinkLength,Flow,JT1
AL100,A414 between M1 J7 and A405 (AL100),1/1/13 0:00,0,162.73,99.77,5,4.51,14,0.614514841
AL100,A414 between M1 J7 and A405 (AL100),1/1/13 0:00,1,162.73,99.77,5,4.51,14.63,0.614514841
AL100,A414 between M1 J7 and A405 (AL100),1/1/13 0:00,2,162.73,99.77,5,4.51,14.13,0.614514841
AL100,A414 between M1 J7 and A405 (AL100),1/1/13 0:00,3,170.91,95,3,4.51,17,0.585103271
AL100,A414 between M1 J7 and A405 (AL100),1/1/13 0:00,4,150.99,107.53,3,4.51,20,0.662295516
AL100,A414 between M1 J7 and A405 (AL100),1/1/13 0:00,5,162.73,99.77,5,4.51,18,0.614514841
AL100,A414 between M1 J7 and A405 (AL100),1/1/13 0:00,6,162.73,99.77,5,4.51,11,0.614514841
AL100,A414 between M1 J7 and A405 (AL100),1/1/13 0:00,7,162.73,99.77,5,4.51,9.25,0.614514841
AL100,A414 between M1 J7 and A405 (AL100),1/1/13 0:00,8,162.73,99.77,5,4.51,7,0.614514841
AL100,A414 between M1 J7 and A405 (AL100),1/1/13 0:00,9,162.73,99.77,5,4.51,7,0.614514841
AL100,A414 between M1 J7 and A405 (AL100),1/1/13 0:00,10,162.73,99.77,5,4.51,8,0.614514841
AL100,A414 between M1 J7 and A405 (AL100),1/1/13 0:00,11,162.73,99.77,5,4.51,4.75,0.614514841
AL100,A414 between M1 J7 and A405 (AL100),1/1/13 0:00,12,162.73,99.77,5,4.51,4.5,0.614514841
AL100,A414 between M1 J7 and A405 (AL100),1/1/13 0:00,13,162.73,99.77,5,4.51,8,0.614514841
AL100,A414 between M1 J7 and A405 (AL100),1/1/13 0:00,14,162.73,99.77,5,4.51,4,0.614514841
AL100,A414 between M1 J7 and A405 (AL100),1/1/13 0:00,15,177.23,91.61,3,4.51,6.5,0.56423856
AL100,A414 between M1 J7 and A405 (AL100),1/1/13 0:00,16,162.73,99.77,5,4.51,7,0.614514841
AL100,A414 between M1 J7 and A405 (AL100),1/1/13 0:00,17,162.73,99.77,5,4.51,3.5,0.614514841
AL100,A414 between M1 J7 and A405 (AL100),1/1/13 0:00,18,162.73,99.77,5,4.51,7.5,0.614514841
